model,configuration,tvl,trade_fraction,gross_input,fee_paid,net_input,output,execution_price,slippage
Balancer Weighted,50/50,1000000,0.01,10000.0,30.0,9970.0,9775.084808910316,0.9775084808910316,0.022491519108968405
Balancer Weighted,50/50,1000000,0.02,20000.0,60.0,19940.0,19175.28945647573,0.9587644728237865,0.04123552717621348
Balancer Weighted,50/50,1000000,0.05,50000.0,150.0,49850.0,45330.54469400743,0.9066108938801487,0.0933891061198513
Balancer Weighted,50/50,1000000,0.1,100000.0,300.0,99700.0,83124.89578122395,0.8312489578122395,0.1687510421877605
Balancer Weighted,50/50,1000000,0.2,200000.0,600.0,199400.0,142550.75779239344,0.7127537889619672,0.28724621103803283
Balancer Weighted,80/20,1000000,0.001,1000.0,3.0,997.0,993.9014474211306,0.9939014474211306,0.006098552578869376
Balancer Weighted,80/20,1000000,0.005,5000.0,15.0,4985.0,4908.300397343312,0.9816600794686625,0.018339920531337484
Balancer Weighted,80/20,1000000,0.01,10000.0,30.0,9970.0,9666.949034025918,0.9666949034025918,0.03330509659740821
Balancer Weighted,80/20,1000000,0.02,20000.0,60.0,19940.0,18756.83008053295,0.9378415040266475,0.062158495973352546
Balancer Weighted,80/20,1000000,0.05,50000.0,150.0,49850.0,42956.187971353924,0.8591237594270785,0.14087624057292147
Balancer Weighted,80/20,1000000,0.1,100000.0,300.0,99700.0,74974.3670940317,0.7497436709403169,0.2502563290596831
Balancer Weighted,80/20,1000000,0.2,200000.0,600.0,199400.0,117883.09673373365,0.5894154836686682,0.41058451633133175
Uniswap V2,0.30% fee,10000000,0.001,10000.0,30.0,9970.0,9950.159382191487,0.9950159382191487,0.004984061780851312
Uniswap V2,0.30% fee,10000000,0.005,50000.0,150.0,49850.0,49357.90171985328,0.9871580343970656,0.01284196560293438
Uniswap V2,0.30% fee,10000000,0.01,100000.0,300.0,99700.0,97750.84808910359,0.9775084808910359,0.022491519108964075
Uniswap V2,0.30% fee,10000000,0.02,200000.0,600.0,199400.0,191752.89456475712,0.9587644728237856,0.04123552717621437
Uniswap V2,0.30% fee,10000000,0.05,500000.0,1500.0,498500.0,453305.4469400747,0.9066108938801494,0.09338910611985063
Uniswap V2,0.30% fee,10000000,0.1,1000000.0,3000.0,997000.0,831248.9578122394,0.8312489578122394,0.1687510421877606
Uniswap V2,0.30% fee,10000000,0.2,2000000.0,6000.0,1994000.0,1425507.577923935,0.7127537889619675,0.2872462110380325
Uniswap V3,"narrow [0.95, 1.05]",10000000,0.001,10000.0,30.0,9970.0,9969.508780068556,0.9969508780068556,0.0030491219931444435
Uniswap V3,"narrow [0.95, 1.05]",10000000,0.005,50000.0,150.0,49850.0,49837.72192123206,0.9967544384246413,0.003245561575358713
Uniswap V3,"narrow [0.95, 1.05]",10000000,0.01,100000.0,300.0,99700.0,99650.89977838137,0.9965089977838136,0.0034910022161863674
Uniswap V3,"narrow [0.95, 1.05]",10000000,0.02,200000.0,600.0,199400.0,199203.6957893201,0.9960184789466006,0.003981521053399439
Uniswap V3,"narrow [0.95, 1.05]",10000000,0.05,500000.0,1500.0,498500.0,497274.9077913363,0.9945498155826726,0.005450184417327364
Uniswap V3,"narrow [0.95, 1.05]",10000000,0.1,1000000.0,3000.0,997000.0,992111.6445778337,0.9921116445778337,0.00788835542216626
Uniswap V3,"narrow [0.95, 1.05]",10000000,0.2,2000000.0,6000.0,1994000.0,1974541.982229815,0.9872709911149076,0.01272900888509243
Uniswap V3,"medium [0.80, 1.20]",10000000,0.001,10000.0,30.0,9970.0,9968.084893908028,0.9968084893908028,0.003191510609197201
Uniswap V3,"medium [0.80, 1.20]",10000000,0.005,50000.0,150.0,49850.0,49802.159106147374,0.9960431821229475,0.0039568178770524876
Uniswap V3,"medium [0.80, 1.20]",10000000,0.01,100000.0,300.0,99700.0,99508.81989956203,0.9950881989956203,0.004911801004379712
Uniswap V3,"medium [0.80, 1.20]",10000000,0.02,200000.0,600.0,199400.0,198636.74318415165,0.9931837159207583,0.00681628407924173
Uniswap V3,"medium [0.80, 1.20]",10000000,0.05,500000.0,1500.0,498500.0,493756.8782510214,0.9875137565020428,0.012486243497957239
Uniswap V3,"medium [0.80, 1.20]",10000000,0.1,1000000.0,3000.0,997000.0,978206.3307798608,0.9782063307798609,0.021793669220139145
Uniswap V3,"medium [0.80, 1.20]",10000000,0.2,2000000.0,6000.0,1994000.0,1920216.1646395533,0.9601080823197766,0.03989191768022338
Uniswap V3,"wide [0.50, 2.00]",10000000,0.001,10000.0,30.0,9970.0,9964.18062877178,0.996418062877178,0.0035819371228219543
Uniswap V3,"wide [0.50, 2.00]",10000000,0.005,50000.0,150.0,49850.0,49704.85459790799,0.9940970919581599,0.005902908041840127
Uniswap V3,"wide [0.50, 2.00]",10000000,0.01,100000.0,300.0,99700.0,99121.10393030211,0.9912110393030211,0.008788960696978876
Uniswap V3,"wide [0.50, 2.00]",10000000,0.02,200000.0,600.0,199400.0,197097.78326602757,0.9854889163301379,0.01451108366986209
Uniswap V3,"wide [0.50, 2.00]",10000000,0.05,500000.0,1500.0,498500.0,484356.09773325303,0.9687121954665061,0.03128780453349389
Uniswap V3,"wide [0.50, 2.00]",10000000,0.1,1000000.0,3000.0,997000.0,941985.3182780722,0.9419853182780722,0.05801468172192781
Uniswap V3,"wide [0.50, 2.00]",10000000,0.2,2000000.0,6000.0,1994000.0,1785449.1551126067,0.8927245775563033,0.1072754224436967
Curve StableSwap,A=10,10000000,0.001,10000.0,4.0,9996.0,9994.183596560732,0.9994183596560732,0.0005816552364207306
Curve StableSwap,A=10,10000000,0.005,50000.0,20.0,49980.0,49934.619305546395,0.9986923861109279,0.0013076287707480816
Curve StableSwap,A=10,10000000,0.01,100000.0,40.0,99960.0,99778.59712589905,0.9977859712589905,0.002214043609178873
Curve StableSwap,A=10,10000000,0.02,200000.0,80.0,199920.0,199194.98999559786,0.9959749499779893,0.004025064863193761
Curve StableSwap,A=10,10000000,0.05,500000.0,200.0,499800.0,495262.3155512614,0.9905246311025229,0.009475383657444159
Curve StableSwap,A=10,10000000,0.1,1000000.0,400.0,999600.0,981172.1610889779,0.981172161088978,0.018827853531626304
Curve StableSwap,A=10,10000000,0.2,2000000.0,800.0,1999200.0,1919458.3249722929,0.9597291624861465,0.040270851814932285
Curve StableSwap,A=100,10000000,0.001,10000.0,4.0,9996.0,9995.802141724154,0.9995802141724154,0.00041980072249026
Curve StableSwap,A=100,10000000,0.005,50000.0,20.0,49980.0,49975.05346964393,0.9995010693928785,0.0004989455008478361
Curve StableSwap,A=100,10000000,0.01,100000.0,40.0,99960.0,99940.21002321597,0.9994021002321597,0.0005979146600918472
Curve StableSwap,A=100,10000000,0.02,200000.0,80.0,199920.0,199840.76267034654,0.9992038133517327,0.0007962015375642117
